title,location,time_of_work,type_of_agreement,salary,article_url
"Kucharzy, pomoc kuchni, pracowników obsługi - od zaraz!","Warszawa, Śródmieście",Pełny etat,Umowa o pracę, od 15 zł do 20 zł,https://www.olx.pl/oferta/kucharzy-pomoc-kuchni-pracownikow-obslugi-od-zaraz-CID4-IDxJMHF.html#368e70fcfd
Pracownik restauracji McDonald's w CH TARGÓWEK. Dołącz do zespołu!,"Warszawa, Ursus",,Umowa o pracę,/mies.  brutto od 18 zł,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-w-ch-targowek-dolacz-do-zespolu-CID4-IDe3YR5.html#368e70fcfd
Praca w WEEKENDY w McDonald's CH TARGÓWEK. Dołącz do zespołu!!!,"Warszawa, Włochy",Pełny etat,Umowa o pracę, do 35 zł/godz.  brutto,https://www.olx.pl/oferta/praca-w-weekendy-w-mcdonalds-ch-targowek-dolacz-do-zespolu-CID4-IDtiQp3.html#368e70fcfd
Pracownik restauracji McDonald's KLASYKÓW. Dołącz do zespołu!,"Warszawa, Żoliborz",,Umowa o pracę, od 3 270 zł do 3 500 zł,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-klasykow-dolacz-do-zespolu-CID4-IDkZNi2.html#368e70fcfd
Praca w WEEKENDY w restauracji McDonald's Klasyków. Dołącz do zespołu!,"Warszawa, Ochota",Niepełny etat,Umowa o pracę,/mies.  brutto od 19 zł,https://www.olx.pl/oferta/praca-w-weekendy-w-restauracji-mcdonalds-klasykow-dolacz-do-zespolu-CID4-IDsZptR.html#368e70fcfd
McDonald's Czarodzieja zatrudnii osoby niepełnosprawne. Dołącz do nas!,"Warszawa, Targówek",,Umowa o pracę, do 22 zł/godz.  brutto,https://www.olx.pl/oferta/mcdonalds-czarodzieja-zatrudnii-osoby-niepelnosprawne-dolacz-do-nas-CID4-IDykNuj.html#368e70fcfd
"Nowe stanowisko czeka, bądź LIDEREM GOŚCINNOŚCI w McDonald's Klasyków!","Warszawa, Targówek",Pełny etat,Umowa o pracę, od 3 270 zł do 3 500 zł,https://www.olx.pl/oferta/nowe-stanowisko-czeka-badz-liderem-goscinnosci-w-mcdonalds-klasykow-CID4-IDyJ9Um.html#368e70fcfd
Nowe Stawki!! Pracownik restauracji McDonald's Marki. Dołącz do nas!,"Warszawa, Białołęka",,Umowa o pracę,/mies.  brutto od 19 zł,https://www.olx.pl/oferta/nowe-stawki-pracownik-restauracji-mcdonalds-marki-dolacz-do-nas-CID4-IDodWQi.html#368e70fcfd
Pracownik restauracji McDonald's MARKI - ul. Toruńska. Dołącz i ty!,"Warszawa, Białołęka",Pełny etat,Umowa o pracę, do 22 zł/mies.  brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-marki-ul-torunska-dolacz-i-ty-CID4-IDrBgzw.html#368e70fcfd
Nowe STAWKI! Praca w WEEKENDY w restauracji McDonald's Toruńska -MARKI,"Warszawa, Białołęka",,Umowa o pracę, od 19 zł do 22 zł,https://www.olx.pl/oferta/nowe-stawki-praca-w-weekendy-w-restauracji-mcdonalds-torunska-marki-CID4-IDsXOiW.html#368e70fcfd
Nowe Stawki!! McDonald's Toruńska zatrudnii osoby niepełnosprawne.,"Warszawa, Białołęka",Pełny etat,Umowa o pracę,/godz.  brutto od 3 640 zł,https://www.olx.pl/oferta/nowe-stawki-mcdonalds-torunska-zatrudnii-osoby-niepelnosprawne-CID4-IDtDAqJ.html#368e70fcfd
Pracownik restauracji McDonald's Conrada. Dołącz do zespołu!,"Warszawa, Białołęka",,Umowa o pracę, do 3 900 zł/mies.  brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-conrada-dolacz-do-zespolu-CID4-IDe3Ssn.html#368e70fcfd
Zatrudnimy Pizzera! Ursynów,"Warszawa, Białołęka",Pełny etat,Umowa o pracę, od 3 270 zł do 3 500 zł,https://www.olx.pl/oferta/zatrudnimy-pizzera-ursynow-CID4-IDrlf7j.html#368e70fcfd;promoted
Pracownik Serwujący Kawę,"Warszawa, Białołęka",,Umowa o pracę,/mies.  brutto od 3 270 zł,https://www.olx.pl/oferta/pracownik-serwujacy-kawe-CID4-IDCBc0R.html#368e70fcfd
Lider zmiany Max Premium Burgers Arkadia,"Warszawa, Białołęka",Pełny etat,Umowa o pracę, do 3 500 zł/mies.  brutto,https://www.olx.pl/oferta/lider-zmiany-max-premium-burgers-arkadia-CID4-IDCSGlq.html#368e70fcfd;promoted
Lider zmiany Max Premium Burgers Wilanów,"Warszawa, Bielany",,Umowa o pracę, od 19 zł do 22 zł,https://www.olx.pl/oferta/lider-zmiany-max-premium-burgers-wilanow-CID4-IDBUWg3.html#368e70fcfd
Pracownik Max Premium Burgers Arkadia,"Warszawa, Ursynów",Pełny etat,Umowa o pracę,/godz.  brutto od 19 zł,https://www.olx.pl/oferta/pracownik-max-premium-burgers-arkadia-CID4-IDCwjx3.html#368e70fcfd;promoted
Pomoc kuchenna Lepienie pierogów,"Warszawa, Wesoła",,Umowa o pracę, do 22 zł/godz.  brutto,https://www.olx.pl/oferta/pomoc-kuchenna-lepienie-pierogow-CID4-IDvmNEm.html#368e70fcfd
Pracownik restauracji,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, od 3 270 zł do 3 500 zł,https://www.olx.pl/oferta/pracownik-restauracji-CID4-IDCH7wg.html#368e70fcfd
Pracownik restauracji-Złote Tarasy,"Warszawa, Wilanów",,Umowa o pracę,/mies.  brutto4 000 zł/mies.,https://www.olx.pl/oferta/pracownik-restauracji-zlote-tarasy-CID4-IDCH7w7.html#368e70fcfd
Poszukiwana POMOC KUCHENNA 18zł/h!!!,"Warszawa, Śródmieście",Niepełny etat,Umowa o pracę, brutto3 850 zł/mies. brutto,https://www.olx.pl/oferta/poszukiwana-pomoc-kuchenna-18zl-h-CID4-IDvrTgf.html#368e70fcfd
Kierownik Zmiany KFC w Warszawie,"Warszawa, Śródmieście",,Umowa o pracę,3 850 zł/mies. brutto od,https://www.olx.pl/oferta/kierownik-zmiany-kfc-w-warszawie-CID4-IDCMZ86.html#368e70fcfd;promoted
Restauracja zatrudni kucharza kucharkę z doświadczeniem,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, 18 zł do 20 zł/godz.,https://www.olx.pl/oferta/restauracja-zatrudni-kucharza-kucharke-z-doswiadczeniem-CID4-IDCMTlv.html#368e70fcfd;promoted
Młodszy Kierownik Zmiany Restauracji Pizza Hut Wawer,"Warszawa, Śródmieście",,Umowa o pracę,  brutto od 3 200 zł do,https://www.olx.pl/oferta/mlodszy-kierownik-zmiany-restauracji-pizza-hut-wawer-CID4-IDCSjB2.html#368e70fcfd
Osoba do obsługi gości,"Warszawa, Ursynów",Pełny etat,Umowa o pracę, 3 800 zł/mies.  brutto2 940 zł,https://www.olx.pl/oferta/osoba-do-obslugi-gosci-CID4-IDB9tbk.html#368e70fcfd
Manager w McDonald’s – Kierownik Zmiany 4500 ZŁ BRUTTO,"Warszawa, Ursynów",,Umowa o pracę, od 4 400 zł do 4 500 zł,https://www.olx.pl/oferta/manager-w-mcdonalds-kierownik-zmiany-4500-zl-brutto-CID4-IDCRHPN.html#4b8c975f86;promoted
Kucharz Kuchnia Zimna,"Warszawa, Targówek",Pełny etat,Umowa o pracę,/mies.  brutto od 3 500 zł,https://www.olx.pl/oferta/kucharz-kuchnia-zimna-CID4-IDzBRDj.html#4b8c975f86;promoted
Osoba do pracy na ZMYWAKU poszukiwana !,"Warszawa, Wola",,Umowa o pracę, do 5 500 zł/mies.  brutto,https://www.olx.pl/oferta/osoba-do-pracy-na-zmywaku-poszukiwana-CID4-IDCeh4Y.html#4b8c975f86;promoted
Pomoc kuchenna/ osoba zmywająca - bez doświadczenia 1 lub 1/2 etatu,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę, od 28 zł do 35 zł,https://www.olx.pl/oferta/pomoc-kuchenna-osoba-zmywajaca-bez-doswiadczenia-1-lub-1-2-etatu-CID4-IDAREjP.html#4b8c975f86
Kucharz - Jana Olbrachta,"Warszawa, Bielany",,Umowa o pracę,/godz.  brutto od 18 zł,https://www.olx.pl/oferta/kucharz-jana-olbrachta-CID4-IDCOuI6.html#4b8c975f86
Kelnerka / Kasjerka,"Warszawa, Bemowo",Pełny etat,Umowa o pracę, do 21 zł/godz.  brutto,https://www.olx.pl/oferta/kelnerka-kasjerka-CID4-IDCOkqb.html#4b8c975f86
Cukiernik do pracowni ciast,"Warszawa, Wola",,Umowa o pracę, od 2 500 zł do 4 500 zł,https://www.olx.pl/oferta/cukiernik-do-pracowni-ciast-CID4-IDz9i0m.html#4b8c975f86
Poszukujemy kucharza liniowego,"Warszawa, Ursynów",Pełny etat,Umowa o pracę,/mies.  brutto od 17 zł,https://www.olx.pl/oferta/poszukujemy-kucharza-liniowego-CID4-IDBbgO6.html#4b8c975f86;promoted
"kucharz , kucharka","Warszawa, Targówek",,Umowa o pracę, do 18 zł/godz.  brutto,https://www.olx.pl/oferta/kucharz-kucharka-CID4-IDCPh0G.html#4b8c975f86
Pracownik restauracji Burger King Wola Park,"Warszawa, Targówek",Pełny etat,Umowa o pracę, od 18 zł do 20 zł,https://www.olx.pl/oferta/pracownik-restauracji-burger-king-wola-park-CID4-IDCCoPO.html#4b8c975f86
Pracownik restauracji Świętokrzyska 3,"Warszawa, Włochy",,Umowa o pracę,/mies.  brutto od 2 500 zł,https://www.olx.pl/oferta/pracownik-restauracji-swietokrzyska-3-CID4-IDCOl7n.html#4b8c975f86
Pomoc Zmywająca. Katyna. Warszawa. Umowa o pracę.,"Warszawa, Bemowo",Pełny etat,Umowa o pracę, do 5 500 zł/mies.  brutto,https://www.olx.pl/oferta/pomoc-zmywajaca-katyna-warszawa-umowa-o-prace-CID4-IDCTJi7.html#4b8c975f86
Klub Mirage zatrudni osobę na zmywak,"Warszawa, Śródmieście",,Umowa o pracę,19 zł/godz. brutto od,https://www.olx.pl/oferta/klub-mirage-zatrudni-osobe-na-zmywak-CID4-IDCTIY7.html#4b8c975f86
Praca w kawiarni Saska Kępa,"Warszawa, Żoliborz",Pełny etat,Umowa o pracę, 3 000 zł do 4 000 zł/mies.,https://www.olx.pl/oferta/praca-w-kawiarni-saska-kepa-CID4-IDzvYqx.html#4b8c975f86
Szef Kuchni,"Warszawa, Śródmieście",,Umowa o pracę,  brutto od 3 000 zł do,https://www.olx.pl/oferta/szef-kuchni-CID4-IDCCk2E.html#4b8c975f86
Pizzer na pełen etat - Pruszków/Ursus,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę, 4 000 zł/mies.  brutto od,https://www.olx.pl/oferta/pizzer-na-pelen-etat-pruszkow-ursus-CID4-IDB3g4a.html#4b8c975f86
Kelner / Kelnerka w PURO Warszawa Centrum,"Warszawa, Białołęka",,Umowa o pracę, 2 500 zł do 4 000 zł/mies.,https://www.olx.pl/oferta/kelner-kelnerka-w-puro-warszawa-centrum-CID4-IDzfdYY.html#4b8c975f86
Pracownik na stanowisku sałatkowym,"Warszawa, Ursus",Pełny etat,Umowa o pracę,  brutto od 2 500 zł do,https://www.olx.pl/oferta/pracownik-na-stanowisku-salatkowym-CID4-IDCTFxN.html#4b8c975f86
Przygotowywanie dań mącznych,"Warszawa, Śródmieście",,Umowa o pracę, 3 200 zł/mies.  brutto od,https://www.olx.pl/oferta/przygotowywanie-dan-macznych-CID4-IDCTFof.html#4b8c975f86
Cukiernia Sowa Sadyba / Galeria Mokotów pełny etat lub weekendy,"Warszawa, Żoliborz",Pełny etat,Umowa o pracę, 3 300 zł do 4 400 zł/mies.,https://www.olx.pl/oferta/cukiernia-sowa-sadyba-galeria-mokotow-pelny-etat-lub-weekendy-CID4-IDCk2xn.html#4b8c975f86
Praca Bufet/Obsługa Gosci,"Warszawa, Żoliborz",,Umowa o pracę,  brutto od 3 000 zł do,https://www.olx.pl/oferta/praca-bufet-obsluga-gosci-CID4-IDzI4rr.html#4b8c975f86
Restauracja zatrudni kucharzy kuchni cieplej,"Warszawa, Mokotów",Pełny etat,Umowa o pracę, 4 500 zł/mies.  brutto od,https://www.olx.pl/oferta/restauracja-zatrudni-kucharzy-kuchni-cieplej-CID4-IDAlA0M.html#4b8c975f86
"Restauracja Kamnada lwowska zatrudni kelnerów, kelnerki","Warszawa, Śródmieście",,Umowa o pracę, 20 zł do 40 zł/godz.,https://www.olx.pl/oferta/restauracja-kamnada-lwowska-zatrudni-kelnerow-kelnerki-CID4-IDAlgaX.html#4b8c975f86
Praca w weekendy sprzedaż Gofrów,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,  brutto od 4 000 zł do,https://www.olx.pl/oferta/praca-w-weekendy-sprzedaz-gofrow-CID4-IDCAfCs.html#4b8c975f86
Zatrudnię kelnerkę,"Warszawa, Śródmieście",,Umowa o pracę, 5 000 zł/mies.  brutto od,https://www.olx.pl/oferta/zatrudnie-kelnerke-CID4-IDzeAVl.html#4b8c975f86
Потрібен кухар - гарячий процес,"Warszawa, Targówek",Pełny etat,Umowa o pracę, 2 500 zł do 4 500 zł/mies.,https://www.olx.pl/oferta/-CID4-IDCTzx6.html#4b8c975f86
Pomocnik kucharza sushi,"Warszawa, Bemowo",,Umowa o pracę,  brutto14 zł/godz. brutto,https://www.olx.pl/oferta/pomocnik-kucharza-sushi-CID4-IDCTyz6.html#4b8c975f86
Pracownik Kuchni w Restauracji Pizza Hut Wawer,"Warszawa, Ochota",Pełny etat,Umowa o pracę, od 3 000 zł do 4 500 zł,https://www.olx.pl/oferta/pracownik-kuchni-w-restauracji-pizza-hut-wawer-CID4-IDCCdm6.html#4b8c975f86
Restauracja McDonald's Dworzec Centralny Warszawa zatrudni pracowników,"Warszawa, Wola",,Umowa o pracę,/mies.  brutto od 17 zł,https://www.olx.pl/oferta/restauracja-mcdonalds-dworzec-centralny-warszawa-zatrudni-pracownikow-CID4-IDxlYDl.html#4b8c975f86;promoted
Praca po szkole studiach - nowa stawka,"Warszawa, Wawer",Niepełny etat,Umowa o pracę, do 19 zł/godz.  brutto,https://www.olx.pl/oferta/praca-po-szkole-studiach-nowa-stawka-CID4-IDA1Nu2.html#4b8c975f86
Restauracja Secado zatrudni zmywającą,"Warszawa, Śródmieście",,Umowa o pracę, od 15 zł do 16 zł,https://www.olx.pl/oferta/restauracja-secado-zatrudni-zmywajaca-CID4-IDBhZNy.html#4b8c975f86
Doświadczona kelnerka poszukiwana! :) Fenicja czeka!,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,/godz.  brutto3 200 zł/mies.,https://www.olx.pl/oferta/doswiadczona-kelnerka-poszukiwana-fenicja-czeka-CID4-IDulmFD.html#4b8c975f86
Sprzedawca Bufetowa na stołówkę,"Warszawa, Śródmieście",,Umowa o pracę, brutto od 12 zł do,https://www.olx.pl/oferta/sprzedawca-bufetowa-na-stolowke-CID4-IDCu7so.html#4b8c975f86
"Wybitnego baristy - wspierającego obsługę Gości - Skazka, dobra stawka","Warszawa, Śródmieście",Pełny etat,Umowa o pracę, 13 zł/godz.  brutto od,https://www.olx.pl/oferta/wybitnego-baristy-wspierajacego-obsluge-gosci-skazka-dobra-stawka-CID4-IDCTjcj.html#4b8c975f86
Pracownik Kuchni w Restauracji Pizza Hut Puławska,"Warszawa, Bemowo",,Umowa o pracę, 2 800 zł do 3 000 zł/mies.,https://www.olx.pl/oferta/pracownik-kuchni-w-restauracji-pizza-hut-pulawska-CID4-IDCNNka.html#4b8c975f86
"Lepienie pierogów, kuchnia wschodnia, ukr/ros Skazka - Umowa o pracę","Warszawa, Śródmieście",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/lepienie-pierogow-kuchnia-wschodnia-ukr-ros-skazka-umowa-o-prace-CID4-IDz49DH.html#4b8c975f86
Do obsługi w bistro ekologicznym,"Warszawa, Mokotów",,Umowa o pracę,None,https://www.olx.pl/oferta/do-obslugi-w-bistro-ekologicznym-CID4-IDu4c35.html#4b8c975f86
Kelnerka w Otto!,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/kelnerka-w-otto-CID4-IDzEO44.html#4b8c975f86
Pracownik Restauracji McDonald's Centrum,"Warszawa, Śródmieście",,Umowa o pracę,None,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-centrum-CID4-IDCHHjS.html#4b8c975f86;promoted
Kelner/kelnerka do Pizzerii na weekendy,"Warszawa, Wola",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/kelner-kelnerka-do-pizzerii-na-weekendy-CID4-IDASTTF.html#4b8c975f86
McDonald's Wileńska- NOWE STAWKI,"Warszawa, Śródmieście",,Umowa o pracę,None,https://www.olx.pl/oferta/mcdonalds-wilenska-nowe-stawki-CID4-IDxkbVF.html#4b8c975f86;promoted
Poszukiwany Szef kuchni do wiodącej firmy caterigowej,"Warszawa, Wola",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/poszukiwany-szef-kuchni-do-wiodacej-firmy-caterigowej-CID4-IDBHXBe.html#4b8c975f86
"do pracy w ""Burger Point""","Warszawa, Wawer",,Umowa o pracę,17 zł/godz. brutto2 940 zł,https://www.olx.pl/oferta/do-pracy-w-burger-point-CID4-IDsCXvT.html#2ebda80471;promoted
55 tys. zł za 6 miesięcy pracy jako kucharz na statku rzecznym!,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,/mies. brutto9 400 zł/mies.,https://www.olx.pl/oferta/55-tys-zl-za-6-miesiecy-pracy-jako-kucharz-na-statku-rzecznym-CID4-IDCPfu9.html#2ebda80471
Praca Szuka Ludzi!,"Warszawa, Wawer",,Umowa o pracę, brutto od 18 zł do,https://www.olx.pl/oferta/praca-szuka-ludzi-CID4-IDCDjW6.html#2ebda80471;promoted
NOWE WYŻSZE STAWKI! - 18zł/h Praca w Weekendy McDonald's Konstancin,"Warszawa, Bielany",Pełny etat,Umowa o pracę, 19 zł/godz.  brutto od,https://www.olx.pl/oferta/nowe-wyzsze-stawki-18zl-h-praca-w-weekendy-mcdonalds-konstancin-CID4-IDyzK8P.html#2ebda80471;promoted
Pracownik restauracji McDonald’s ul. Rzymowskiego 18,"Warszawa, Wawer",,Umowa o pracę, 2 650 zł do 3 000 zł/mies.,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-ul-rzymowskiego-18-CID4-IDBq9EL.html#2ebda80471
Zatrudnię Dozorcę/Magazyniera,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,  brutto od 2 500 zł do,https://www.olx.pl/oferta/zatrudnie-dozorce-magazyniera-CID4-IDCUuvd.html#2ebda80471
Restauracja Mcdonald’s Wola Park zatrudni osoby niepełnosprawne.,"Warszawa, Mokotów",,Umowa o pracę, 2 700 zł/mies.  brutto od,https://www.olx.pl/oferta/restauracja-mcdonalds-wola-park-zatrudni-osoby-niepelnosprawne-CID4-IDvYaR5.html#2ebda80471;promoted
Pracownik Kuchni w Restauracji Pizza Hut Metro Ratusz Arsenał,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, 15 zł do 18 zł/godz.,https://www.olx.pl/oferta/pracownik-kuchni-w-restauracji-pizza-hut-metro-ratusz-arsenal-CID4-IDCUts0.html#2ebda80471;promoted
45 tys. zł za 6 miesięcy pracy na zmywaku na statku rzecznym!,"Warszawa, Ursynów",,Umowa o pracę,  brutto7 700 zł/mies. brutto,https://www.olx.pl/oferta/45-tys-zl-za-6-miesiecy-pracy-na-zmywaku-na-statku-rzecznym-CID4-IDCP4XB.html#2ebda80471
zatrudnię kucharza,"Warszawa, Ursynów",Pełny etat,Umowa o pracę,7 700 zł/mies. brutto15 zł,https://www.olx.pl/oferta/zatrudnie-kucharza-CID4-IDCUqbZ.html#2ebda80471
45 tys. zł za 6 miesięcy pracy jako kelner na statku rzecznym!,"Warszawa, Śródmieście",,Umowa o pracę,/godz. brutto od 20 zł,https://www.olx.pl/oferta/45-tys-zl-za-6-miesiecy-pracy-jako-kelner-na-statku-rzecznym-CID4-IDCP4dt.html#2ebda80471
Zatrdnimy Kelnera lub kelnerkę,"Warszawa, Mokotów",Pełny etat,Umowa o pracę, do 21 zł/godz.  brutto,https://www.olx.pl/oferta/zatrdnimy-kelnera-lub-kelnerke-CID4-IDB0Bwi.html#2ebda80471
"Koordynator Zespołu w Restauracji IKEA, IKEA Retail, Janki","Warszawa, Ursynów",,Umowa o pracę, od 3 190 zł do 3 200 zł,https://www.olx.pl/oferta/koordynator-zespolu-w-restauracji-ikea-ikea-retail-janki-CID4-IDCJfaH.html#2ebda80471
"Pracownik Gastronomii, IKEA Retail, Janki k/Warszawy","Warszawa, Bielany",Pełny etat,Umowa o pracę,/mies.  brutto od 4 080 zł,https://www.olx.pl/oferta/pracownik-gastronomii-ikea-retail-janki-k-warszawy-CID4-IDCdq5Z.html#2ebda80471
"NOWE STAWKI 18,50 zł/h McDonald's Włochy praca w godzinach 6:00-15:00","Warszawa, Wola",,Umowa o pracę, do 4 100 zł/mies.  brutto,https://www.olx.pl/oferta/nowe-stawki-18-50-zl-h-mcdonalds-wlochy-praca-w-godzinach-600-1500-CID4-IDzAcls.html#2ebda80471;promoted
SZEF KUCHNI/Szef Produkcji - Catering dla Przedzkoli,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, od 3 400 zł do 3 600 zł,https://www.olx.pl/oferta/szef-kuchni-szef-produkcji-catering-dla-przedzkoli-CID4-IDCGb7e.html#2ebda80471;promoted
Pomoc kuchenna,"Warszawa, Śródmieście",,Umowa o pracę,/mies.  brutto od 3 500 zł,https://www.olx.pl/oferta/pomoc-kuchenna-CID4-IDCUi9E.html#2ebda80471
Pracownik restauracji McDonald`s Jawczyce,"Warszawa, Śródmieście",Niepełny etat,Umowa o pracę, do 4 200 zł/mies.  brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-jawczyce-CID4-IDCOVGp.html#2ebda80471
Menager-NOWE WYŻSZE STAWKI McDonald's Włochy 17-go Stycznia 65,"Warszawa, Śródmieście",,Umowa o pracę, od 2 800 zł do 3 700 zł,https://www.olx.pl/oferta/menager-nowe-wyzsze-stawki-mcdonalds-wlochy-17-go-stycznia-65-CID4-IDxZkzc.html#2ebda80471
Praca w pendolino i wagon restauracyjny,"Warszawa, Mokotów",Pełny etat,Umowa o pracę,/mies.  brutto3 450 zł/mies.,https://www.olx.pl/oferta/praca-w-pendolino-i-wagon-restauracyjny-CID4-IDCPHTM.html#2ebda80471
SAM Żoliborz zatrudni osobę zmywającą / pomoc kuchenną,"Warszawa, Ursus",,Umowa o pracę, brutto od 2 900 zł do,https://www.olx.pl/oferta/sam-zoliborz-zatrudni-osobe-zmywajaca-pomoc-kuchenna-CID4-IDBMier.html#2ebda80471
Manager Sadyba Best Mall od 3450 zł BRUTTO,"Warszawa, Ursus",Pełny etat,Umowa o pracę, 3 300 zł/mies.  brutto od,https://www.olx.pl/oferta/manager-sadyba-best-mall-od-3450-zl-brutto-CID4-IDzifYI.html#2ebda80471;promoted
Atrakcyjne zarobki dla kelnerek i kelnerów,"Warszawa, Włochy",,Umowa o pracę, 2 900 zł do 3 000 zł/mies.,https://www.olx.pl/oferta/atrakcyjne-zarobki-dla-kelnerek-i-kelnerow-CID4-IDCUah3.html#2ebda80471
Pracownika McDonald 's Sadyba- NOWE STAWKI,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę,  brutto od 4 400 zł do,https://www.olx.pl/oferta/pracownika-mcdonald-s-sadyba-nowe-stawki-CID4-IDw7Nit.html#2ebda80471;promoted
Pracownik restauracji Mcdonald's ul. Radzymińska 94a - 3000 BRUTTO!,"Warszawa, Białołęka",,Umowa o pracę, 4 500 zł/mies.  brutto od,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-ul-radzyminska-94a-3000-brutto-CID4-IDCRHod.html#2ebda80471;promoted
Manager w McDonald’s – Kierownik Zmiany 4500 ZŁ BRUTTO,"Warszawa, Ursus",Pełny etat,Umowa o pracę, 50 zł do 100 zł/godz.,https://www.olx.pl/oferta/manager-w-mcdonalds-kierownik-zmiany-4500-zl-brutto-CID4-IDCRHPN.html#2ebda80471;promoted
Pracownik restauracji McDonald’s Dworzec Centralny,"Warszawa, Włochy",,Umowa o pracę,  brutto od 50 zł do,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-dworzec-centralny-CID4-IDCCKW2.html#2ebda80471
Książeczka sanepid badania 3 lata,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę, 100 zł/godz.  brutto od,https://www.olx.pl/oferta/ksiazeczka-sanepid-badania-3-lata-CID4-IDCU1JZ.html#2ebda80471
Książeczka sanepid badania trzy lata,"Warszawa, Żoliborz",,Umowa o pracę, 4 000 zł do 5 000 zł/mies.,https://www.olx.pl/oferta/ksiazeczka-sanepid-badania-trzy-lata-CID4-IDCU18I.html#2ebda80471
kelner / kelnerka 4* hotel Nowy Świat Warszawa,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,  brutto od 4 000 zł do,https://www.olx.pl/oferta/kelner-kelnerka-4-hotel-nowy-swiat-warszawa-CID4-IDCRPNX.html#2ebda80471
.Młodszy kucharz Express Oriental 3000 netto,"Warszawa, Mokotów",,Umowa o pracę, 5 000 zł/mies.  brutto od,https://www.olx.pl/oferta/mlodszy-kucharz-express-oriental-3000-netto-CID4-IDBWJga.html#2ebda80471
.Pomoc kucharza Express Oriental Młociny 3000 netto,"Warszawa, Mokotów",Pełny etat,Umowa o pracę, 4 800 zł do 5 000 zł/mies.,https://www.olx.pl/oferta/pomoc-kucharza-express-oriental-mlociny-3000-netto-CID4-IDBLjuj.html#2ebda80471
szef kuchni/kucharz,"Warszawa, Mokotów",,Umowa o pracę,  brutto3 850 zł/mies. brutto,https://www.olx.pl/oferta/szef-kuchni-kucharz-CID4-IDASczF.html#2ebda80471
Lider zmiany - Max Premium Burgers Złote Tarasy,"Warszawa, Targówek",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/lider-zmiany-max-premium-burgers-zlote-tarasy-CID4-IDBZMlm.html#2ebda80471
Kierownik Zmiany Salad Story Wola Park- od zaraz!,"Warszawa, Wola",,Umowa o pracę, od 19 zł do 20 zł,https://www.olx.pl/oferta/kierownik-zmiany-salad-story-wola-park-od-zaraz-CID4-IDCW9Hr.html#5777e25a50;promoted
Poszukujemy kucharza liniowego,"Warszawa, Wola",Pełny etat,Umowa o pracę,/godz.  brutto16 zł/godz.,https://www.olx.pl/oferta/poszukujemy-kucharza-liniowego-CID4-IDBbgO6.html#5777e25a50;promoted
Pracownik restauracji McDonald's MODLIŃSKA. Dołącz do zespołu!,"Warszawa, Targówek",,Umowa o pracę, brutto od 17 zł do,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-modlinska-dolacz-do-zespolu-CID4-ID5VPHW.html#5777e25a50;promoted
Mcdonald's Wiatraczna PracowniK restauracji 3000 BRUTTO!,"Warszawa, Białołęka",Pełny etat,Umowa o pracę, 18 zł/godz.  brutto od,https://www.olx.pl/oferta/mcdonalds-wiatraczna-pracownik-restauracji-3000-brutto-CID4-IDxkc3Z.html#5777e25a50;promoted
Kelner / Kelnerka w Platter by Karol Okrasa,"Warszawa, Praga-Południe",,Umowa o pracę, 3 270 zł do 3 500 zł/mies.,https://www.olx.pl/oferta/kelner-kelnerka-w-platter-by-karol-okrasa-CID4-IDCW9ue.html#5777e25a50;promoted
Poszukujemy Szefa kuchni-kucharza do restauracji-pizzerii na Mokotowie,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,  brutto od 3 000 zł do,https://www.olx.pl/oferta/poszukujemy-szefa-kuchni-kucharza-do-restauracji-pizzerii-na-mokotowie-CID4-IDCW8VV.html#5777e25a50
